,AI Class,Species Desc,X,Y,Width,Height
0,BRPEA,Brown Pelican Adult,692,90,98,149
1,BRPEA,Brown Pelican Adult,915,306,159,76
2,BRPEA,Brown Pelican Adult,1340,555,115,83
3,BRPEA,Brown Pelican Adult,1259,668,101,136
4,BRPEA,Brown Pelican Adult,1835,726,89,112
5,BRPEA,Brown Pelican Adult,1971,688,95,88
6,BRPEA,Brown Pelican Adult,1276,1076,156,108
7,BRPEW,Brown Pelican Wings Spread,1563,894,107,133
8,LAGUA,Laughing Gull Adult,1030,700,50,82
9,LAGUA,Laughing Gull Adult,511,152,68,63
10,LAGUA,Laughing Gull Adult,2402,982,66,41
11,LAGUA,Laughing Gull Adult,1259,1726,52,89
12,LAGUA,Laughing Gull Adult,1156,1890,102,60
13,LAGUA,Laughing Gull Adult,862,1611,62,109
14,LAGUA,Laughing Gull Adult,2258,2206,100,40
15,LAGUA,Laughing Gull Adult,1794,2267,73,52
16,LAGUA,Laughing Gull Adult,443,2534,103,52
17,LAGUA,Laughing Gull Adult,560,2850,91,64
18,LAGUA,Laughing Gull Adult,1264,2804,100,71
19,LAGUA,Laughing Gull Adult,1614,2583,68,81
20,LAGUA,Laughing Gull Adult,1368,4291,57,82
21,LAGUA,Laughing Gull Adult,3001,698,71,68
22,LAGUA,Laughing Gull Adult,3383,245,87,74
23,LAGUA,Laughing Gull Adult,3638,281,79,64
24,LAGUA,Laughing Gull Adult,3830,979,50,97
25,LAGUA,Laughing Gull Adult,3492,1497,77,68
26,LAGUA,Laughing Gull Adult,3894,2829,64,80
27,LAGUA,Laughing Gull Adult,2580,3075,61,85
28,LAGUA,Laughing Gull Adult,3823,3162,86,56
29,LAGUA,Laughing Gull Adult,4200,4977,60,80
30,LAGUA,Laughing Gull Adult,3989,4204,93,57
31,LAGUA,Laughing Gull Adult,4576,3805,95,74
32,LAGUA,Laughing Gull Adult,4832,3751,97,61
33,LAGUA,Laughing Gull Adult,4499,3150,98,43
34,LAGUA,Laughing Gull Adult,4306,3285,70,88
35,LAGUA,Laughing Gull Adult,5072,3324,73,81
36,LAGUA,Laughing Gull Adult,4951,3448,66,117
37,LAGUA,Laughing Gull Adult,5451,2624,83,59
38,LAGUA,Laughing Gull Adult,5471,2466,65,97
39,LAGUA,Laughing Gull Adult,4992,2171,85,67
40,LAGUA,Laughing Gull Adult,5005,1934,93,73
41,LAGUA,Laughing Gull Adult,4903,1329,89,64
42,LAGUA,Laughing Gull Adult,4674,727,107,70
43,LAGUA,Laughing Gull Adult,4990,605,97,83
44,LAGUA,Laughing Gull Adult,4643,612,114,45
45,LAGUA,Laughing Gull Adult,4211,485,62,74
46,LAGUA,Laughing Gull Adult,5468,272,83,65
47,LAGUA,Laughing Gull Adult,5664,765,86,68
48,LAGUA,Laughing Gull Adult,6971,358,86,85
49,LAGUA,Laughing Gull Adult,6919,290,117,63
50,LAGUA,Laughing Gull Adult,6423,740,81,98
51,LAGUA,Laughing Gull Adult,6062,541,81,75
52,LAGUA,Laughing Gull Adult,5761,861,98,54
53,LAGUA,Laughing Gull Adult,6935,683,90,68
54,LAGUA,Laughing Gull Adult,6703,1084,52,89
55,LAGUA,Laughing Gull Adult,6432,1074,66,78
56,LAGUA,Laughing Gull Adult,7095,1375,51,86
57,LAGUA,Laughing Gull Adult,7052,1681,98,60
58,LAGUA,Laughing Gull Adult,7077,2067,105,59
59,LAGUA,Laughing Gull Adult,7150,2958,65,71
60,LAGUA,Laughing Gull Adult,7386,3243,99,56
61,LAGUA,Laughing Gull Adult,7376,3895,118,39
62,LAGUA,Laughing Gull Adult,6383,4610,73,61
63,LAGUA,Laughing Gull Adult,6897,4408,63,63
64,LAGUA,Laughing Gull Adult,6712,4242,65,88
